"","y","dates"
"145",-0.118518651177773,2008-10-09
"146",0.061253811658843,2008-10-10
"147",0.0880091181317098,2008-10-13
"148",0.151954318706339,2008-10-14
"149",-0.107750641915671,2008-10-15
"150",0.0178910534563381,2008-10-16
"151",-0.0425416853997818,2008-10-17
"152",0.048708200315446,2008-10-20
"153",-0.0177801255716794,2008-10-21
"154",-0.0562017511276167,2008-10-22
"155",0.0148929603292896,2008-10-23
"156",-0.0876439881130522,2008-10-24
"157",-0.0259629480760504,2008-10-27
"158",0.114476123553689,2008-10-28
"159",-0.0308802657806262,2008-10-29
"160",0.020399864404081,2008-10-30
"161",0.0592291927982003,2008-10-31
"162",-0.0234418012630364,2008-11-03
"163",0.0382265055844506,2008-11-04
"164",-0.120283141502113,2008-11-05
"165",-0.0778993626013667,2008-11-06
"166",0.0182225673174821,2008-11-07
"167",-0.0505486640364192,2008-11-10
"168",-0.0413996232423712,2008-11-11
"169",-0.0947753309158017,2008-11-12
"170",0.0058651194523982,2008-11-13
"171",-0.0405783594843321,2008-11-14
"172",-0.0884519002593991,2008-11-17
"173",0.0105891128427982,2008-11-18
"174",-0.151083192759396,2008-11-19
"175",-0.149185995197856,2008-11-20
"176",0.01936680249085,2008-11-21
"177",0.240601431393415,2008-11-24
"178",0.0142908182353749,2008-11-25
"179",0.0416864856050001,2008-11-26
"180",0.0517792424006771,2008-11-28
"181",-0.234749097434518,2008-12-01
"182",0.111798888749705,2008-12-02
"183",0.0462352911039514,2008-12-03
"184",-0.0483251560234108,2008-12-04
"185",0.060870715087026,2008-12-05
"186",0.157519576893363,2008-12-08
"187",-0.0511752343283556,2008-12-09
"188",-0.0154580952336483,2008-12-10
"189",-0.112777668813212,2008-12-11
"190",0.00134048277445187,2008-12-12
"191",-0.0564888456863764,2008-12-15
